Date,meantemp,humidity
1/1/2013,10,84.5
1/2/2013,7.4,92
1/3/2013,7.166666666666667,87
1/4/2013,8.666666666666666,71.33333333333333
1/5/2013,6,86.83333333333333
1/6/2013,7,82.8
1/7/2013,7,78.6
1/8/2013,8.857142857142858,63.714285714285715
1/9/2013,14,51.25
1/10/2013,11,62
1/11/2013,15.714285714285714,51.285714285714285
1/12/2013,14,74
1/13/2013,15.833333333333334,75.16666666666667
1/14/2013,12.833333333333334,88.16666666666667
1/15/2013,14.714285714285714,71.85714285714286
1/16/2013,13.833333333333334,86.66666666666667
1/17/2013,16.5,80.83333333333333
1/18/2013,13.833333333333334,92.16666666666667
1/19/2013,12.5,76.66666666666667
1/20/2013,11.285714285714286,75.28571428571429
1/21/2013,11.2,77
1/22/2013,9.5,79.66666666666667
1/23/2013,14,60.166666666666664
1/24/2013,13.833333333333334,60.666666666666664
1/25/2013,12.25,67
1/26/2013,12.666666666666666,64.16666666666667
1/27/2013,12.857142857142858,65.57142857142857
1/28/2013,14.833333333333334,56
1/29/2013,14.125,65.5
1/30/2013,14.714285714285714,70.42857142857143
1/31/2013,16.2,65.6
2/1/2013,16,73
2/2/2013,16.285714285714285,77.57142857142857
2/3/2013,18,65.57142857142857
2/4/2013,17.428571428571427,74.28571428571429
2/5/2013,16.625,92.375
2/6/2013,16.666666666666668,71.33333333333333
2/7/2013,15.6,59.4
2/8/2013,14,70.42857142857143
2/9/2013,15.428571428571429,61.285714285714285
2/10/2013,15.25,71.5
2/11/2013,15.875,70.5
2/12/2013,15.333333333333334,70.33333333333333
2/13/2013,16.285714285714285,70.14285714285714
2/14/2013,17.333333333333332,63.833333333333336
2/15/2013,19.166666666666668,65.33333333333333
2/16/2013,14.428571428571429,92.71428571428571
2/17/2013,13.666666666666666,90
2/18/2013,15.6,78.4
2/19/2013,15.857142857142858,82
2/20/2013,17.714285714285715,74.71428571428571
2/21/2013,20,67.28571428571429
2/22/2013,20.5,65.625
2/23/2013,17.428571428571427,74.85714285714286
2/24/2013,16.857142857142858,78.85714285714286
2/25/2013,16.875,72.875
2/26/2013,17.857142857142858,70
2/27/2013,20.8,57.2
2/28/2013,19.428571428571427,52.857142857142854
3/1/2013,17.333333333333332,49.333333333333336
3/2/2013,19,54
3/3/2013,19.333333333333332,62.833333333333336
3/4/2013,17.6,71
3/5/2013,20.875,61.875
3/6/2013,20.857142857142858,65.28571428571429
3/7/2013,23.428571428571427,57.142857142857146
3/8/2013,24.166666666666668,44.833333333333336
3/9/2013,25.428571428571427,49.714285714285715
3/10/2013,23.142857142857142,57.57142857142857
3/11/2013,24,66.33333333333333
3/12/2013,23.5,62.5
3/13/2013,21.5,70.5
3/14/2013,22.333333333333332,61.166666666666664
3/15/2013,24.166666666666668,45.833333333333336
3/16/2013,20.333333333333332,67.66666666666667
3/17/2013,22.666666666666668,58.666666666666664
3/18/2013,23.428571428571427,58.142857142857146
